trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-195.32839260899263,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-144.1820712906625,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",1
47,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-38.37826019858224,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-158.2491157981886,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-114.52598289124559,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,20,6.615314869190844,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-70.77366084519022,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-22.12512254821125,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-45.195319222691914,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-50.84725877672729,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-175.17817185216302,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-74.32740011385376,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-117.70422617436597,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-178.4821712433129,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-184.71885111452704,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-125.37581329569382,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-136.33382785579795,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8196480178454795}",35,0,-133.97413662306857,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-43.840866250896696,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-19.1302504119337,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-87.73470732743357,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-18.20665716571223,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-75.42085982369065,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-138.34097247016936,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
69,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,6,-52.263689464467845,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-96.03117842305763,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-129.72387847669785,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-188.74135074876,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",1
73,False,"{'a': 0.01, 'e': 0.751805729140895}",20,14,-33.13734742652152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-121.79792128265926,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7384685587295879}",35,0,-108.73116088871848,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,18,5.348890445002718,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-30.472373830632968,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-136.95647896961054,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,2,-101.67299536943352,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-54.62225528639609,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-95.30350918088482,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-0.17971559326700426,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,9,-53.53411992634913,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-11.088431975731632,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6674628258413082}",30,0,-114.62190799246142,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-0.8038193303741459,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-108.76609123718448,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-2.969537736789886,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-100.14526459582181,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6294120265736969}",35,0,-81.43613991473156,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,0,-67.48102319086681,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,4,-54.571436298114655,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,5,-90.1798419641038,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
94,False,"{'a': 0.01, 'e': 0.5978339822872982}",35,22,-14.744938951523261,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,10,7.92896016058826,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,6,0.21018990388828906,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,0,-54.268237833514334,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,11,-27.191831683815025,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,19,-2.9360307812591735,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,13,-56.346718342264985,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,9.513808598034116,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,7,5.925790447019757,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,0,-34.354099401374654,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,6,-7.817997203900687,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-26.801397508643376,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-8.42978464454224,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,5,-38.94250883343732,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,-8.382857127172665,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,8,-22.570784468246185,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-60.75316782001994,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,0,-13.587508238621524,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,0,-36.93350305551696,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,0,-107.7585134245939,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,15,1.243647818009741,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-127.58208473209926,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
116,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,15,-33.64828181360707,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,13,12.073119330994142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,15,0.17731758001456965,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,0,-48.60419364355052,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.371659872260533}",30,4,-1.2360494455686295,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,13,11.837317877327713,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.35301940121933034}",30,0,-103.84115635347683,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,16,8.408370590947033,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-105.64815248237534,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,5,1.47020310621819,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,13,13.590183770756278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
